iter	Passed	Remaining
0	1	109
1	1	97
2	2	95
3	3	89
4	4	88
5	5	88
6	6	86
7	7	85
8	8	85
9	9	84
10	10	83
11	11	82
12	12	81
13	13	80
14	13	77
15	14	75
16	15	73
17	15	71
18	16	70
19	17	68
20	17	66
21	18	65
22	19	63
23	19	62
24	20	61
25	21	59
26	21	58
27	22	57
28	23	56
29	23	55
30	24	54
31	25	53
32	26	52
33	26	51
34	27	50
35	28	49
36	28	48
37	29	47
38	30	47
39	30	46
40	31	45
41	31	43
42	32	42
43	33	42
44	33	41
45	34	40
46	35	39
47	35	38
48	36	38
49	37	37
50	37	36
51	38	35
52	39	34
53	40	34
54	40	33
55	41	32
56	41	31
57	42	30
58	43	29
59	43	29
60	44	28
61	45	27
62	45	26
63	46	26
64	47	25
65	47	24
66	48	23
67	49	23
68	49	22
69	50	21
70	51	20
71	51	20
72	52	19
73	52	18
74	53	17
75	54	17
76	54	16
77	55	15
78	56	14
79	56	14
80	57	13
81	58	12
82	58	12
83	59	11
84	60	10
85	60	9
86	61	9
87	62	8
88	62	7
89	63	7
90	63	6
91	64	5
92	65	4
93	65	4
94	66	3
95	66	2
96	67	2
97	68	1
98	68	0
99	69	0
