iter	Passed	Remaining
0	148	148114
1	148	74273
2	149	49626
3	149	37338
4	150	29959
5	151	25026
6	151	21497
7	152	18851
8	152	16798
9	153	15152
10	153	13809
11	154	12688
12	154	11732
13	155	10920
14	155	10224
15	156	9610
16	156	9067
17	157	8585
18	158	8182
19	159	7792
20	159	7436
21	160	7114
22	160	6822
23	161	6550
24	161	6303
25	162	6071
26	162	5858
27	163	5661
28	163	5475
29	164	5304
30	164	5146
31	165	4996
32	165	4855
33	166	4722
34	166	4597
35	167	4477
36	167	4366
37	168	4260
38	168	4162
39	169	4066
40	169	3975
41	170	3887
42	171	3806
43	171	3727
44	172	3655
45	172	3585
46	173	3517
47	174	3451
48	174	3388
49	175	3327
50	175	3269
51	176	3212
52	176	3157
53	177	3105
54	177	3055
55	178	3006
56	178	2958
57	179	2914
58	179	2870
59	180	2828
60	181	2787
61	181	2747
62	182	2709
63	182	2672
64	183	2636
65	183	2600
66	184	2565
67	184	2531
68	185	2499
69	185	2467
70	186	2437
71	186	2407
72	187	2378
73	187	2350
74	188	2322
75	188	2295
76	189	2268
77	189	2242
78	190	2217
79	190	2193
80	191	2169
81	191	2145
82	191	2120
83	192	2097
84	192	2076
85	193	2055
86	193	2035
87	194	2014
88	194	1994
89	195	1975
90	195	1956
91	196	1937
92	196	1919
93	197	1901
94	197	1883
95	198	1866
96	198	1849
97	199	1833
98	199	1817
99	200	1802
100	200	1787
101	201	1772
102	201	1758
103	202	1743
104	202	1729
105	203	1715
106	203	1701
107	204	1688
108	204	1675
109	205	1662
110	205	1649
111	206	1637
112	206	1624
113	207	1612
114	207	1600
115	208	1588
116	208	1575
117	209	1564
118	209	1552
119	210	1541
120	210	1530
121	211	1518
122	211	1508
123	212	1497
124	212	1487
125	213	1477
126	213	1467
127	214	1457
128	214	1448
129	215	1439
130	215	1429
131	215	1420
132	216	1411
133	216	1402
134	217	1393
135	217	1384
136	218	1375
137	218	1367
138	219	1359
139	219	1351
140	220	1343
141	220	1333
142	221	1325
143	221	1317
144	222	1310
145	222	1302
146	223	1294
147	223	1287
148	224	1279
149	224	1272
150	225	1265
151	225	1258
152	226	1252
153	226	1245
154	227	1238
155	227	1231
156	228	1224
157	228	1218
